date,indoorSense.iAQ
9/26/2020 3:09:06.334000000 PM,516
9/26/2020 3:09:08.842000000 PM,514
9/26/2020 3:09:10.923000000 PM,511
9/26/2020 3:09:13.014000000 PM,509
9/26/2020 3:09:15.094000000 PM,506
9/26/2020 3:09:17.273000000 PM,504
9/26/2020 3:09:19.354000000 PM,504
9/26/2020 3:09:21.433000000 PM,504
9/26/2020 3:09:23.517000000 PM,504
9/26/2020 3:09:25.603000000 PM,504
9/26/2020 3:09:27.688000000 PM,504
9/26/2020 3:09:29.776000000 PM,504
9/26/2020 3:09:31.857000000 PM,504
9/26/2020 3:09:33.945000000 PM,506
9/26/2020 3:09:36.028000000 PM,506
9/26/2020 3:09:38.115000000 PM,506
9/26/2020 3:09:40.211000000 PM,506
9/26/2020 3:09:42.294000000 PM,506
9/26/2020 3:09:44.376000000 PM,506
9/26/2020 3:09:46.463000000 PM,506
9/26/2020 3:09:48.548000000 PM,506
9/26/2020 3:09:50.636000000 PM,509
9/26/2020 3:09:52.727000000 PM,509
9/26/2020 3:09:54.816000000 PM,509
9/26/2020 3:09:56.911000000 PM,509
9/26/2020 3:09:58.996000000 PM,511
9/26/2020 3:10:01.086000000 PM,511
9/26/2020 3:10:03.172000000 PM,511
9/26/2020 3:10:05.264000000 PM,511
9/26/2020 3:10:07.353000000 PM,511
9/26/2020 3:10:09.439000000 PM,511
9/26/2020 3:10:11.521000000 PM,511
9/26/2020 3:10:13.595000000 PM,511
9/26/2020 3:10:15.683000000 PM,514
9/26/2020 3:10:17.769000000 PM,514
9/26/2020 3:10:19.853000000 PM,516
9/26/2020 3:10:21.933000000 PM,519
9/26/2020 3:10:24.035000000 PM,519
9/26/2020 3:10:26.111000000 PM,524
9/26/2020 3:10:28.233000000 PM,529
9/26/2020 3:10:30.324000000 PM,529
9/26/2020 3:10:32.440000000 PM,531
9/26/2020 3:10:34.524000000 PM,534
9/26/2020 3:10:36.610000000 PM,538
9/26/2020 3:10:41.151000000 PM,538
